param T:=6;
param k:=2;
param p:=5;

param inflow :=  
# i inflow(i)
  1 1000
  2 1100
  3 900
  4 1500
  5 1000
  6 1000
;

param v :=  
 [1,*,*]: 1    2    3    4    5      6 :=
    1  0.15 0.14 0.25 0.38  0.32  1.28
    2   0   0.13 0.22 0.35  0.30  1.24
    3   0    0   0.2  0.32  0.2   1.2
    4   0    0    0   0.3   0.18  1.15
    5   0    0    0    0    0.16  1.10
    6   0    0    0    0     0    1.15
 [2,*,*]: 1    2    3    4    5      6 :=
    1  0.10 0.15 0.45 0.25  0.3   1.25
    2   0   0.14 0.36 0.22  0.27  1.22
    3   0    0   0.33 0.20  0.25  1.20
    4   0    0    0   0.18  0.22  1.18
    5   0    0    0    0    0.20  1.16
    6   0    0    0    0     0    1.13  
;

